kim,module,theme,indicators,control_form,brs_max
KIM-01,M1-intro-and-basic-structures,Анализ временной сложности элементарных алгоритмов,ОПК-6.1;ОПК-7.2;ОПК-6.3;ОПК-6.4,текущая,6
KIM-02,M1-intro-and-basic-structures,Рекурсия и динамические линейные структуры,ОПК-6.1;ОПК-7.2;ОПК-6.3;ОПК-6.4,текущая,6
KIM-03,M2-sorting,Простые сортировки и QuickSort с рандомизацией,ОПК-6.1;ОПК-7.2;ОПК-6.3;ОПК-6.4,текущая,6
KIM-04,M2-sorting,"MergeSort, Counting, Radix, HeapSort",ОПК-6.1;ОПК-7.2;ОПК-6.3;ОПК-6.4,текущая,6
KIM-05,M3-trees,"BST: построение, обходы, вставка, удаление",ОПК-6.1;ОПК-7.2;ОПК-6.3;ОПК-6.4,текущая,6
KIM-06,M4-search-and-hashing,"Линейный, бинарный, интерполяционный поиск",ОПК-6.1;ОПК-7.2;ОПК-6.3;ОПК-6.4,текущая,6
KIM-07,M4-search-and-hashing,"Поиск подстрок: КМП, Рабин–Карп, Бойер–Мур",ОПК-6.1;ОПК-7.2;ОПК-6.3;ОПК-6.4,текущая,6
KIM-08,M4-search-and-hashing,Хеш-таблица с цепочечным хешированием,ОПК-6.1;ОПК-7.2;ОПК-6.3;ОПК-6.4,текущая,6
KIM-01-Cases,Cases,Верификация ИИ-сгенерированной сортировки,ОПК-6.1;ОПК-6.2;ОПК-7.2,текущая,2
KIM-02-Cases,Cases,Эксперимент: высота BST и деградация операций,ОПК-6.1;ОПК-7.1;ОПК-7.2,текущая,2
KIM-03-Cases,Cases,Кейс ГК «Астра»: аномалии в журналах событий ОС,ОПК-6.1;ОПК-6.2;ОПК-7.1;ОПК-7.2,текущая,3
KIM-04-Cases,Cases,Кейс hh.ru: семантический подбор по эмбеддингам,ОПК-6.1;ОПК-6.2;ОПК-7.1;ОПК-7.2,текущая,3
TEST-1,resources/test-banks,Тест № 1 (раздел 1),ОПК-6.1;ОПК-7.1,текущая,4
TEST-2,resources/test-banks,Тест № 2 (раздел 2),ОПК-6.1;ОПК-7.2,текущая,4
TEST-3,resources/test-banks,Тест № 3 (раздел 3),ОПК-6.1;ОПК-7.1,текущая,4
TEST-4,resources/test-banks,Тест № 4 (раздел 4),ОПК-6.1;ОПК-7.2,текущая,4
KIM-01-Exam,Exam,Зачётный письменный тест,ОПК-6.1;ОПК-6.2;ОПК-6.3;ОПК-6.4;ОПК-7.1;ОПК-7.2,промежуточная,30
